t_s,h_sl_m,position_h-sl-ft,h_agl_m,position_h-agl-ft,lat_deg,lon_deg,x_north_m,x_east_m,vtrue_mps,velocities_vtrue-fps,mach,u_mps,velocities_u-fps,v_mps,velocities_v-fps,w_mps,velocities_w-fps,vn_mps,velocities_v-north-fps,ve_mps,velocities_v-east-fps,vd_mps,velocities_v-down-fps,p_radps,q_radps,r_radps,phi_rad,theta_rad,psi_rad,alpha_rad,beta_rad,nx_g,ny_g,nz_g,throttle,elevator,aileron,rudder,thrust_lb,fuel_lb,mass_kg,inertia_mass-slugs,temp_K,atmosphere_T-R,rho_kgpm3,atmosphere_rho-slugs_ft3
0.000000,4572.019389,15000.063612,4572.000000,15000.000000,30.166804,120.000000,0.000000,0.000000,273.862800,898.500000,0.849763,273.862800,898.500000,0.000000,0.000000,-0.000000,-0.000000,273.862800,898.500000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.470222,-0.000000,0.207149,0.000000,0.000000,0.000000,0.000000,0.000000,7000.000000,9076.383200,621.929804,258.453233,465.215819,0.771091,0.001496
1.000000,4569.545918,14991.948548,4569.526537,14991.884964,30.169255,120.000000,271.757873,0.009598,269.728800,884.937008,0.836909,269.697278,884.833590,0.003015,0.009892,4.123557,13.528729,269.694306,884.823838,0.019114,0.062710,4.313534,14.152016,-0.000089,-0.024369,0.000089,-0.000112,-0.000704,0.000058,0.015288,0.000011,-0.513412,-0.000020,0.584157,0.000000,0.000000,0.000000,0.000000,15.896512,4699.795405,8033.028670,550.437310,258.469287,465.244717,0.771294,0.001497
2.000000,4563.306111,14971.476742,4563.286755,14971.413238,30.171663,120.000000,538.649890,0.038242,264.513401,867.826118,0.820663,264.416997,867.509832,0.004005,0.013140,7.140796,23.427807,264.402266,867.461501,0.038099,0.124995,7.666794,25.153522,0.000118,-0.004637,0.000071,-0.000039,-0.001989,0.000128,0.026999,0.000015,-0.562036,-0.000063,0.791323,0.000000,0.000000,0.000000,0.000000,0.000000,4699.607871,8032.943605,550.431481,258.509788,465.317618,0.771809,0.001498
3.000000,4554.518406,14942.645688,4554.499085,14942.582300,30.174021,120.000001,800.029907,0.085706,258.847218,849.236278,0.802995,258.705610,848.771686,0.003332,0.010932,8.560925,28.087025,258.659188,848.619383,0.056908,0.186705,9.864243,32.363002,0.000004,0.007667,0.000078,0.000014,-0.005038,0.000208,0.033079,0.000013,-0.609190,-0.000038,0.830046,0.000000,0.000000,0.000000,0.000000,0.000000,4699.420336,8032.858541,550.425652,258.566826,465.420287,0.772534,0.001499
4.000000,4544.060681,14908.335566,4544.041403,14908.272318,30.176325,120.000002,1055.471749,0.151756,252.756607,829.253959,0.783998,252.556878,828.598681,0.003297,0.010816,10.046180,32.959907,252.516903,828.467529,0.075103,0.246401,11.005016,36.105696,-0.000038,0.003113,0.000076,-0.000011,-0.003797,0.000284,0.039757,0.000013,-0.651657,-0.000040,0.887194,0.000000,0.000000,0.000000,0.000000,0.000000,4699.232802,8032.773477,550.419823,258.634704,465.542468,0.773397,0.001501
5.000000,4532.735124,14871.178230,4532.715893,14871.115134,30.178573,120.000002,1304.653078,0.235419,246.754715,809.562715,0.765272,246.468175,808.622621,0.003315,0.010877,11.888161,39.003154,246.486642,808.683207,0.092273,0.302732,11.498550,37.724901,0.000002,0.001228,0.000076,-0.000031,0.001581,0.000359,0.048197,0.000013,-0.477984,-0.000039,0.969798,0.000000,0.000000,0.000000,0.000000,0.000000,4699.045267,8032.688413,550.413995,258.708215,465.674788,0.774333,0.001502
6.000000,4521.085656,14832.958188,4521.066472,14832.895248,30.180779,120.000003,1549.223161,0.336361,243.868142,800.092330,0.756210,243.514210,798.931135,0.003397,0.011145,13.133937,43.090344,243.585196,799.164029,0.109962,0.360767,11.743548,38.528702,0.000019,0.006435,0.000078,-0.000016,0.005709,0.000437,0.053883,0.000014,-0.116574,-0.000034,0.999561,0.000000,0.000000,0.000000,0.000000,0.000000,4698.857733,8032.603349,550.408166,258.783829,465.810892,0.775297,0.001504
7.000000,4509.447399,14794.774931,4509.428263,14794.712148,30.182969,120.000005,1792.037754,0.455390,242.646616,796.084699,0.752312,242.227948,794.711115,0.003326,0.010913,14.247868,46.744974,242.375838,795.196319,0.128264,0.420813,11.459367,37.596349,0.000004,0.007634,0.000078,-0.000003,0.011508,0.000515,0.058752,0.000014,-0.115398,-0.000033,1.051467,0.000000,0.000000,0.000000,0.000000,0.000000,4698.670198,8032.518284,550.402337,258.859370,465.946867,0.776261,0.001506
8.000000,4498.361578,14758.404126,4498.342487,14758.341492,30.185148,120.000006,2033.603625,0.592609,241.319003,791.729011,0.748092,240.836199,790.145010,0.003252,0.010668,15.257333,50.056868,241.084665,790.960187,0.146331,0.480090,10.631267,34.879484,-0.000007,0.007082,0.000077,-0.000004,0.019198,0.000593,0.063267,0.000013,-0.114900,-0.000032,1.102082,0.000000,0.000000,0.000000,0.000000,0.000000,4698.482664,8032.433220,550.396508,258.931326,466.076387,0.777179,0.001508
9.000000,4488.288005,14725.354348,4488.268955,14725.291848,30.187316,120.000008,2273.837200,0.747680,239.895081,787.057352,0.743584,239.360818,785.304521,0.003231,0.010601,16.001519,52.498423,239.708483,786.445154,0.163983,0.538001,9.458658,31.032344,-0.000003,0.008172,0.000077,-0.000008,0.027313,0.000670,0.066752,0.000013,-0.113692,-0.000032,1.135910,0.000000,0.000000,0.000000,0.000000,0.000000,4698.295129,8032.348156,550.390680,258.996712,466.194082,0.778015,0.001510
10.000000,4479.520294,14696.588891,4479.501280,14696.526508,30.189470,120.000010,2512.654142,0.920164,238.385735,782.105429,0.738824,237.818519,780.244486,0.003208,0.010523,16.435036,53.920722,238.249396,781.658124,0.181194,0.594468,8.059214,26.440992,0.000001,0.008085,0.000076,-0.000006,0.035184,0.000747,0.068998,0.000013,-0.112494,-0.000031,1.149269,0.000000,0.000000,0.000000,0.000000,0.000000,4698.107595,8032.263092,550.384851,259.053622,466.296519,0.778743,0.001511
11.000000,4472.204589,14672.587235,4472.185604,14672.524948,30.191611,120.000012,2749.974161,1.109634,236.802849,776.912233,0.733851,236.212661,774.975923,0.003157,0.010359,16.708314,54.817302,236.711708,776.613216,0.197985,0.649556,6.566372,21.543214,-0.000001,0.007144,0.000076,-0.000002,0.042884,0.000823,0.070617,0.000013,-0.111705,-0.000031,1.154317,0.000000,0.000000,0.000000,0.000000,0.000000,4697.920060,8032.178028,550.379022,259.101107,466.381993,0.779351,0.001512
12.000000,4466.376143,14653.465038,4466.357182,14653.402827,30.193737,120.000014,2985.717088,1.315658,235.149107,771.486572,0.728673,234.546502,769.509523,0.003097,0.010161,16.823814,55.196242,235.093728,771.304882,0.214327,0.703173,5.098598,16.727682,-0.000004,0.006573,0.000075,-0.000001,0.049922,0.000898,0.071606,0.000013,-0.111353,-0.000030,1.149958,0.000000,0.000000,0.000000,0.000000,0.000000,4697.732526,8032.092963,550.373193,259.138939,466.450090,0.779835,0.001513
13.000000,4461.973803,14639.021662,4461.954858,14638.959507,30.195849,120.000016,3219.810711,1.537776,233.444684,765.894633,0.723351,232.839940,763.910565,0.003047,0.009998,16.792345,55.092995,233.414760,765.796457,0.230204,0.755261,3.730596,12.239488,-0.000004,0.005686,0.000074,-0.000001,0.056014,0.000973,0.071995,0.000013,-0.110093,-0.000029,1.136341,0.000000,0.000000,0.000000,0.000000,0.000000,4697.544991,8032.007899,550.367365,259.167514,466.501525,0.780201,0.001514
14.000000,4458.862893,14628.815265,4458.843960,14628.753149,30.197945,120.000018,3452.205715,1.775530,231.710933,760.206474,0.717951,231.109265,758.232498,0.003008,0.009869,16.687243,54.748172,231.697085,760.161041,0.245636,0.805892,2.521305,8.271998,-0.000004,0.004579,0.000074,-0.000000,0.061198,0.001047,0.072080,0.000013,-0.108224,-0.000028,1.118810,0.000000,0.000000,0.000000,0.000000,0.000000,4697.357457,8031.922835,550.361536,259.187706,466.537871,0.780460,0.001514
15.000000,4456.864145,14622.257694,4456.845219,14622.195600,30.200026,120.000021,3682.873374,2.028497,229.965424,754.479737,0.712525,229.370378,752.527488,0.002969,0.009742,16.532567,54.240704,229.960318,754.462985,0.260668,0.855211,1.510136,4.954513,-0.000004,0.003663,0.000073,0.000000,0.065387,0.001121,0.071954,0.000013,-0.106039,-0.000028,1.098494,0.000000,0.000000,0.000000,0.000000,0.000000,4697.169922,8031.837771,550.355707,259.200680,466.561224,0.780626,0.001515
16.000000,4455.771953,14618.674386,4455.753030,14618.612303,30.202091,120.000024,3911.802366,2.296298,228.220843,748.756046,0.707110,227.634314,746.831738,0.002932,0.009618,16.351520,53.646721,228.219570,748.751870,0.275343,0.903356,0.710748,2.331852,-0.000005,0.002740,0.000073,0.000001,0.068595,0.001194,0.071709,0.000013,-0.103753,-0.000027,1.076668,0.000000,0.000000,0.000000,0.000000,0.000000,4696.982388,8031.752707,550.349878,259.207769,466.573985,0.780717,0.001515
17.000000,4455.371649,14617.361053,4455.352726,14617.298970,30.204141,120.000027,4138.994844,2.578595,226.486488,743.065907,0.701733,225.907851,741.167491,0.002900,0.009514,16.179376,53.081942,226.486269,743.065187,0.289695,0.950444,0.124672,0.409029,-0.000005,0.001888,0.000072,0.000001,0.070947,0.001266,0.071497,0.000013,-0.101535,-0.000027,1.055585,0.000000,0.000000,0.000000,0.000000,0.000000,4696.794854,8031.667642,550.344050,259.210368,466.578662,0.780750,0.001515
18.000000,4455.454490,14617.632843,4455.435566,14617.570754,30.206174,120.000030,4364.462264,2.875082,224.768327,737.428894,0.696410,224.195953,735.551028,0.002875,0.009431,16.030450,52.593340,224.767974,737.427735,0.303760,0.996587,-0.258014,-0.846502,-0.000005,0.001212,0.000072,0.000001,0.072528,0.001339,0.071380,0.000013,-0.099523,-0.000026,1.035860,0.000000,0.000000,0.000000,0.000000,0.000000,4696.607319,8031.582578,550.338221,259.209830,466.577694,0.780743,0.001515
19.000000,4455.826561,14618.853547,4455.807633,14618.791448,30.208193,120.000033,4588.221802,3.185488,223.069253,731.854505,0.691149,222.500542,729.988654,0.002854,0.009363,15.918563,52.226258,223.068559,731.852226,0.317569,1.041892,-0.457230,-1.500097,-0.000005,0.000638,0.000072,0.000001,0.073472,0.001411,0.071422,0.000013,-0.097804,-0.000026,1.018204,0.000000,0.000000,0.000000,0.000000,0.000000,4696.419785,8031.497514,550.332392,259.207415,466.573347,0.780712,0.001515
20.000000,4456.315718,14620.458391,4456.296786,14620.396280,30.210196,120.000036,4810.293143,3.509571,221.389995,726.345126,0.685950,220.821473,724.479900,0.002837,0.009307,15.855805,52.020358,221.389190,726.342485,0.331150,1.086451,-0.496770,-1.629823,-0.000005,0.000207,0.000072,0.000001,0.073925,0.001483,0.071681,0.000013,-0.096431,-0.000025,1.003246,0.000000,0.000000,0.000000,0.000000,0.000000,4696.232250,8031.412450,550.326563,259.204240,466.567632,0.780672,0.001515
21.000000,4456.775781,14621.967784,4456.756846,14621.905661,30.212184,120.000040,5030.695901,3.847116,219.729405,720.896998,0.680809,219.157337,719.020134,0.002822,0.009259,15.845289,51.985857,219.728764,720.894897,0.344525,1.130330,-0.403508,-1.323847,-0.000005,-0.000081,0.000072,0.000001,0.074012,0.001555,0.072175,0.000013,-0.095425,-0.000025,0.991002,0.000000,0.000000,0.000000,0.000000,0.000000,4696.044716,8031.327386,550.320735,259.201254,466.562256,0.780633,0.001515
22.000000,4457.087779,14622.991399,4457.068841,14622.929268,30.214158,120.000044,5249.447771,4.197921,218.084963,715.501846,0.675716,217.505326,713.600151,0.002811,0.009222,15.889750,52.131726,218.084573,715.500567,0.357705,1.173574,-0.205200,-0.673227,-0.000006,-0.000260,0.000072,0.000001,0.073866,0.001627,0.072925,0.000013,-0.094778,-0.000025,0.981545,0.000000,0.000000,0.000000,0.000000,0.000000,4695.857181,8031.242321,550.314906,259.199228,466.558611,0.780607,0.001515
23.000000,4457.159972,14623.228255,4457.141033,14623.166117,30.216116,120.000047,5466.563213,4.561798,216.453276,710.148543,0.670661,215.861967,708.208552,0.002801,0.009191,15.988494,52.455689,216.452947,710.147462,0.370700,1.216207,0.071762,0.235440,-0.000005,-0.000324,0.000072,0.000000,0.073602,0.001700,0.073933,0.000013,-0.094462,-0.000024,0.974743,0.000000,0.000000,0.000000,0.000000,0.000000,4695.669647,8031.157257,550.309077,259.198760,466.557768,0.780601,0.001515
24.000000,4456.926273,14622.461526,4456.907333,14622.399387,30.218060,120.000051,5682.052695,4.938562,214.830363,704.824024,0.665631,214.223363,702.832557,0.002793,0.009165,16.138005,52.946209,214.829643,704.821662,0.383512,1.258241,0.402768,1.321417,-0.000005,-0.000300,0.000072,0.000000,0.073316,0.001772,0.075191,0.000013,-0.094434,-0.000024,0.970309,0.000000,0.000000,0.000000,0.000000,0.000000,4695.482112,8031.072193,550.303248,259.200277,466.560498,0.780621,0.001515
25.000000,4456.343686,14620.550150,4456.324747,14620.488014,30.219989,120.000055,5895.922355,5.328032,213.212010,699.514469,0.660612,212.585392,697.458635,0.002786,0.009141,16.334394,53.590530,213.210266,699.508745,0.396140,1.299672,0.766160,2.513649,-0.000005,-0.000203,0.000073,0.000000,0.073093,0.001845,0.076686,0.000013,-0.094640,-0.000024,0.967973,0.000000,0.000000,0.000000,0.000000,0.000000,4695.294578,8030.987129,550.297420,259.204058,466.567305,0.780669,0.001515
26.000000,4455.389352,14617.419134,4455.370416,14617.357007,30.221904,120.000060,6108.175756,5.730023,211.605831,694.244852,0.655628,210.956584,692.114778,0.002779,0.009118,16.563429,54.341958,211.602347,694.233421,0.408602,1.340559,1.143461,3.751512,-0.000005,-0.000324,0.000073,0.000000,0.072951,0.001918,0.078355,0.000013,-0.089135,-0.000024,0.966820,0.136259,0.000000,0.000000,0.000000,107.888995,4695.107043,8030.902065,550.291591,259.210253,466.578455,0.780749,0.001515
27.000000,4454.047827,14613.017807,4454.028895,14612.955693,30.223805,120.000064,6318.899474,6.144520,210.207916,689.658518,0.651285,209.544723,687.482688,0.002772,0.009094,16.684634,54.739612,210.201769,689.638351,0.421293,1.382196,1.551368,5.089791,-0.000005,-0.001250,0.000073,0.000000,0.072075,0.001991,0.079456,0.000013,-0.053536,-0.000024,0.957490,0.344483,0.000000,0.000000,0.000000,761.755471,4694.902863,8030.809799,550.285269,259.218960,466.594129,0.780860,0.001515
28.000000,4452.266092,14607.172217,4452.247166,14607.110124,30.225695,120.000068,6528.445757,6.572069,209.290591,686.648921,0.648429,208.613364,684.427047,0.002773,0.009098,16.823075,55.193817,209.280420,686.615552,0.434826,1.426593,2.016968,6.617351,-0.000005,-0.001423,0.000073,0.000000,0.070831,0.002064,0.080468,0.000013,0.003032,-0.000024,0.950039,0.528994,0.000000,0.000000,0.000000,1802.272366,4694.485263,8030.621412,550.272360,259.230526,466.614946,0.781009,0.001515
29.000000,4450.009474,14599.768615,4449.990556,14599.706549,30.227580,120.000073,6737.372412,7.013728,208.985658,685.648485,0.647466,208.292749,683.375162,0.002779,0.009116,17.003997,55.787393,208.970299,685.598092,0.449590,1.475033,2.493501,8.180778,-0.000005,-0.001026,0.000074,-0.000000,0.069523,0.002138,0.081454,0.000013,0.065410,-0.000024,0.947458,0.677391,0.000000,0.000000,0.000000,2960.962876,4693.800922,8030.311962,550.251156,259.245173,466.641311,0.781196,0.001516
30.000000,4447.303311,14590.890128,4447.284403,14590.828094,30.229464,120.000078,6946.291246,7.470795,209.271103,686.584983,0.648328,208.555214,684.236268,0.002791,0.009157,17.294998,56.742120,209.250502,686.517395,0.465669,1.527785,2.899138,9.511608,-0.000005,-0.000310,0.000074,-0.000000,0.068884,0.002212,0.082738,0.000013,0.120747,-0.000024,0.955550,0.787019,0.000000,0.000000,0.000000,4004.397258,4692.880472,8029.895271,550.222604,259.262738,466.672929,0.781422,0.001516
31.000000,4444.261688,14580.911051,4444.242792,14580.849055,30.231354,120.000083,7155.737869,7.944519,210.026450,689.063156,0.650643,209.283246,686.624823,0.002805,0.009202,17.653119,57.917058,210.002237,688.983718,0.482906,1.584336,3.152284,10.342139,-0.000005,0.000777,0.000074,-0.000000,0.069142,0.002286,0.084151,0.000013,0.162812,-0.000024,0.971980,0.862239,0.000000,0.000000,0.000000,4816.345392,4691.766209,8029.390496,550.188015,259.282481,466.708467,0.781675,0.001517
32.000000,4441.071866,14570.445755,4441.052982,14570.383799,30.233251,120.000088,7366.108650,8.435924,211.099881,692.584912,0.653943,210.328784,690.055065,0.002817,0.009241,18.026715,59.142767,211.075206,692.503955,0.501027,1.643791,3.188474,10.460873,-0.000005,0.001673,0.000074,-0.000000,0.070394,0.002360,0.085498,0.000013,0.191130,-0.000024,0.993677,0.910424,0.000000,0.000000,0.000000,5381.630335,4690.505295,8028.819020,550.148857,259.303186,466.745735,0.781941,0.001517
33.000000,4437.964865,14560.252182,4437.945993,14560.190265,30.235160,120.000093,7577.654534,8.945750,212.355144,696.703227,0.657806,211.559750,694.093669,0.002825,0.009268,18.362436,60.244211,212.333529,696.632312,0.519747,1.705208,2.984875,9.792896,-0.000005,0.002448,0.000074,-0.000000,0.072522,0.002434,0.086579,0.000013,0.208046,-0.000025,1.017003,0.938905,0.000000,0.000000,0.000000,5736.646353,4689.143660,8028.201695,550.106557,259.323354,466.782037,0.782200,0.001518
34.000000,4435.179528,14551.113938,4435.160666,14551.052055,30.237080,120.000098,7790.505524,9.474465,213.688413,701.077472,0.661913,212.876717,698.414427,0.002827,0.009276,18.607558,61.048420,213.672520,701.025329,0.538816,1.767768,2.549866,8.365701,-0.000005,0.002933,0.000074,-0.000000,0.075256,0.002508,0.087188,0.000013,0.216582,-0.000025,1.038060,0.953680,0.000000,0.000000,0.000000,5931.880049,4687.720563,8027.556358,550.062337,259.341433,466.814580,0.782432,0.001518
35.000000,4432.930495,14543.735220,4432.911641,14543.673363,30.239012,120.000104,8004.703791,10.022314,215.029505,705.477380,0.666048,214.211201,702.792654,0.002826,0.009270,18.741653,61.488363,215.020213,705.446894,0.558038,1.830834,1.919552,6.297744,-0.000005,0.003117,0.000073,0.000000,0.078342,0.002582,0.087269,0.000013,0.219387,-0.000025,1.054995,0.959108,0.000000,0.000000,0.000000,6012.354101,4686.266441,8026.896851,550.017146,259.356031,466.840857,0.782619,0.001519
36.000000,4431.387870,14538.674113,4431.369021,14538.612273,30.240956,120.000110,8220.233511,10.589378,216.335293,709.761458,0.670080,215.521059,707.090089,0.002820,0.009252,18.751849,61.521813,216.331483,709.748959,0.577276,1.893950,1.146769,3.762366,-0.000006,0.003065,0.000073,0.000000,0.081488,0.002655,0.086788,0.000013,0.218393,-0.000025,1.066298,0.958133,0.000000,0.000000,0.000000,6011.948948,4684.803506,8026.233275,549.971677,259.366044,466.858880,0.782748,0.001519
37.000000,4430.664855,14536.302017,4430.646008,14536.240182,30.242912,120.000116,8437.044084,11.175620,217.581652,713.850565,0.673934,216.781508,711.225420,0.002812,0.009225,18.642781,61.163978,217.580641,713.847247,0.596437,1.956813,0.290474,0.953000,-0.000006,0.002766,0.000072,0.000001,0.084452,0.002728,0.085787,0.000013,0.214914,-0.000025,1.071662,0.952665,0.000000,0.000000,0.000000,5954.144897,4683.347573,8025.572825,549.926422,259.370738,466.867328,0.782808,0.001519
